Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"Apple Inc.",320193,AAPL,"NASDAQ Global Select Market","S&P 500","Russell 1000","ONE APPLE PARK WAY",,CUPERTINO,"Santa Clara",CA,CALIFORNIA,"US West",95014,"(408) 996-1010",,,3571,"Electronic Computers",334111,"Electronic Computer Manufacturing",34,574814,"Ernst & Young LLP",2,0042,,,,"San Jose",CA,CALIFORNIA,"US West",2025-09-27,2025,09,2025-10-31,10-K,2025-10-31,No,,,1,"GAAP - US",Yes,No,,,,,,2009,Since,,,"Large Accelerated Filer",,,,,254.63,2025-09-30,"3,761,715,281,920",2025-09-27,"416,161,000,000","112,010,000,000",,"359,241,000,000",,,,,,
"MICROSOFT CORP",789019,MSFT,"NASDAQ Global Select Market","S&P 500","Russell 1000","ONE MICROSOFT WAY",,REDMOND,King,WA,WASHINGTON,"US West",98052-6399,"(425) 882-8080",,,7372,"Prepackaged Software",511210,"Software Publishers",34,569470,"Deloitte & Touche LLP",3,0034,,,,Seattle,WA,WASHINGTON,"US West",2025-06-30,2025,06,2025-07-30,10-K,2025-07-30,No,,,2,"GAAP - US",Yes,No,,,,,,1983,Since,,,"Large Accelerated Filer",2025,"53,880,000","24,585,000","78,465,000",497.41,2025-06-30,"3,697,745,854,464",2025-06-30,"281,724,000,000","101,832,000,000","201,366,000,000","619,003,000,000",,,,,,
"NVIDIA CORP",1045810,NVDA,"NASDAQ Global Select Market","S&P 500","Russell 1000","2788 SAN TOMAS EXPRESSWAY",,"SANTA CLARA","Santa Clara",CA,CALIFORNIA,"US West",95051,"(408) 486-2000",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,553448,"PricewaterhouseCoopers LLP",1,0238,,,,"San Jose",CA,CALIFORNIA,"US West",2025-01-26,2025,01,2025-02-26,10-K,2025-02-26,No,,,1,"GAAP - US",Yes,No,,,,,,2004,Since,,,"Large Accelerated Filer",2025,"8,067,106","1,935,245","10,002,351",120.07,2025-01-31,"2,938,953,269,248",2025-01-26,"130,497,000,000","72,880,000,000","73,332,000,000","111,601,000,000",,,,,,
"Walmart Inc.",104169,WMT,NYSE,"S&P 500","Russell 1000","1 CUSTOMER DRIVE",,BENTONVILLE,Benton,AR,ARKANSAS,"US Southeast",72716,"(501) 273-4000",,,5331,"Variety Stores",452112,"Discount Department Stores",34,557459,"Ernst & Young LLP",2,0042,,,,Rogers,AR,ARKANSAS,"US Southeast",2025-01-31,2025,01,2025-03-14,10-K,2025-03-14,No,,,1,"GAAP - US",Yes,No,,,,,,1969,Since,,,"Large Accelerated Filer",2025,"36,306,000","1,610,000","37,916,000",97.5,2025-01-29,"783,255,142,400",2025-01-31,"680,985,000,000","19,436,000,000","62,492,000,000","260,823,000,000",,,,,,
"VISA INC.",1403161,V,NYSE,"S&P 500","Russell 1000","P.O. BOX 8999",,"SAN FRANCISCO","San Mateo",CA,CALIFORNIA,"US West",94128-8999,"(650) 432-3200",,,7389,"Business Services, NEC",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",34,575073,"KPMG LLP",4,0185,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-09-30,2025,09,2025-11-06,10-K,2025-11-06,No,,,1,"GAAP - US",Yes,No,,,,,,2007,Since,,,"Large Accelerated Filer",,,,,345.95,2025-10-02,"587,659,214,848",2025-09-30,"40,000,000,000","20,058,000,000","-9,616,000,000","99,627,000,000",,,,,,
"ORACLE CORP",1341439,ORCL,NYSE,"S&P 500","Russell 1000","2300 ORACLE WAY",,AUSTIN,Travis,TX,TEXAS,"US Southwest",78741,"(737) 867-1000",,,7372,"Prepackaged Software",511210,"Software Publishers",34,567112,"Ernst & Young LLP",2,0042,,,,"San Jose",CA,CALIFORNIA,"US West",2025-05-31,2025,05,2025-06-18,10-K,2025-06-18,No,,,1,"GAAP - US",Yes,No,,,,,,2002,Since,,,"Large Accelerated Filer",2025,"30,323,147","4,927,616","35,250,763",166.57,2025-06-02,"467,101,253,632",2025-05-31,"57,399,000,000","12,443,000,000","-46,343,000,000","168,361,000,000",,,,,,
"COSTCO WHOLESALE CORP /NEW",909832,COST,"NASDAQ Global Select Market","S&P 500","Russell 1000","999 LAKE DRIVE",,ISSAQUAH,,WA,WASHINGTON,"US West",98027-,"(425) 313-8100",,,5331,"Variety Stores",452910,"Warehouse Clubs and Supercenters",34,573766,"KPMG LLP",4,0185,,,,Seattle,WA,WASHINGTON,"US West",2025-08-31,2025,08,2025-10-07,10-K,2025-10-08,No,,,1,"GAAP - US",Yes,No,,,,,,2002,Since,,,"Large Accelerated Filer",,,,,938.82,2025-09-02,"416,345,161,728",2025-08-31,"275,235,000,000","8,099,000,000",,"77,099,000,000",,,,,,
"HOME DEPOT, INC.",354950,HD,NYSE,"S&P 500","Russell 1000","2455 PACES FERRY ROAD",,ATLANTA,Cobb,GA,GEORGIA,"US Southeast",30339-4024,"(770) 433-8211",,,5211,"Lumber and Other Building Materials Dealers",444110,"Home Centers",34,558362,"KPMG LLP",4,0185,,,,Atlanta,GA,GEORGIA,"US Southeast",2025-02-02,2025,1,2025-03-20,10-K,2025-03-21,No,,,2,"GAAP - US",Yes,No,,,,,,1979,Since,,,"Large Accelerated Filer",2025,"8,688,000","270,000","8,958,000",411.49,2025-02-04,"408,758,779,904",2025-02-02,"159,514,000,000","14,806,000,000","-21,818,000,000","96,119,000,000",,,,,,
"PROCTER & GAMBLE Co",80424,PG,NYSE,"S&P 500","Russell 1000","ONE PROCTER & GAMBLE PLAZA",,CINCINNATI,Hamilton,OH,OHIO,"US Midwest",45202,"(513) 983-1100",,,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",325612,"Polish and Other Sanitation Good Manufacturing",34,569690,"Deloitte & Touche LLP",3,0034,,,,Cincinnati,OH,OHIO,"US Midwest",2025-06-30,2025,06,2025-08-04,10-K,2025-08-04,No,,,1,"GAAP - US",Yes,No,,,,,,1890,Since,,,"Large Accelerated Filer",2025,"27,804,000","3,058,000","30,862,000",161.2,2025-07-02,"377,940,180,992",2025-06-30,"84,284,000,000","15,974,000,000","-11,550,000,000","125,229,000,000",,,,,,
"Salesforce, Inc.",1108524,CRM,NYSE,"S&P 500","Russell 1000","SALESFORCE TOWER","415 MISSION STREET 3RD FL","SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94105,"(415) 901-7000",,,7372,"Prepackaged Software",518210,"Data Processing, Hosting, and Related Services",34,555460,"Ernst & Young LLP",2,0042,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-01-31,2025,01,2025-03-05,10-K,2025-03-05,No,,,2,"GAAP - US",Yes,No,,,,,,2002,Since,,,"Large Accelerated Filer",2025,"24,292,000","14,169,000","38,461,000",354,2025-01-29,"338,777,997,312",2025-01-31,"37,895,000,000","6,197,000,000","5,462,000,000","102,928,000,000",,,,,,
"Alibaba Group Holding Ltd",1577552,BABA,NYSE,,,"26/F TOWER ONE","TIMES SQUARE, 1 MATHESON STREET","CAUSEWAY BAY",,K3,"HONG KONG",Foreign,00000,852-2215-5100,,,7389,"Business Services, NEC",518210,"Data Processing, Hosting, and Related Services",33,567471,"PricewaterhouseCoopers LLP",1,0238,"PricewaterhouseCoopers Zhong Tian LLP",94,1424,Shanghai,F4,CHINA,Foreign,2025-03-31,2025,03,2025-06-26,20-F,2025-06-26,No,,,1,"GAAP - US",Yes,No,,,,,,2023,Since,,,"Large Accelerated Filer",2025,"18,698,238","2,297,433","20,995,671",129.79,2025-04-02,"333,008,994,304",2025-03-31,"137,395,000,000","17,942,000,000","102,757,000,000","248,801,000,000",,,,,,
"CISCO SYSTEMS, INC.",858877,CSCO,"NASDAQ Global Select Market","S&P 500","Russell 1000","170 WEST TASMAN DR",,"SAN JOSE","Santa Clara",CA,CALIFORNIA,"US West",95134-1706,"(408) 526-4000",,,3576,"Computer Communications Equipment",334119,"Other Computer Peripheral Equipment Manufacturing",34,571407,"PricewaterhouseCoopers LLP",1,0238,,,,"San Jose",CA,CALIFORNIA,"US West",2025-07-26,2025,07,2025-09-03,10-K,2025-09-03,No,,,1,"GAAP - US",Yes,No,,,,,,1988,Since,,,"Large Accelerated Filer",2025,"30,570,000","6,387,000","36,957,000",67.92,2025-07-28,"268,963,069,952",2025-07-26,"56,654,000,000","10,180,000,000","-21,468,000,000","122,291,000,000",,,,,,
