"CAM Key","CAM Topic","CAM Company Title","Audit Opinion Key","Year Ended Date","Signature Date","Auditor Key",Auditor,"Auditor Affiliate Key","Auditor Affiliate","Auditor Affiliate PCAOB","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region",Source,"Source Date","Going Concern",Company,"CIK Code",Ticker,"Bus Street 1","Bus Street 2",City,"State Code","State Name","State Region","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
24223,"Revenue from customer contracts","Revenue Recognition
",499735,12/31/22,02/16/23,2,"Ernst & Young LLP",,,,"San Jose",CA,CALIFORNIA,"US West",10-K,2023-02-16,,"10x Genomics, Inc.",1770787,"=""TXG""","6230 STONERIDGE MALL ROAD",,PLEASANTON,CA,CALIFORNIA,"US West",,,"=""3826""","Laboratory Analytical Instruments",334516,"Analytical Laboratory Instrument Manufacturing",34,36,12/31/22,"3,517,471,232",12/31/22,"516,409,000","-166,000,000","778,374,000","1,028,980,000"
29689,"Revenue from customer contracts","Revenue Recognition— Refer to Note 2(m) and Note 13 to the financial statements",510550,12/31/22,04/28/23,3,"Deloitte & Touche LLP",499,"Deloitte Touche Tohmatsu Certified Public Accountants LLP",1113,Shanghai,F4,CHINA,Foreign,20-F,2023-04-28,,"111, Inc.",1738906,"=""YI""","3-4/F, NO.295 ZUCHONGZHI ROAD","PUDONG NEW AREA",SHANGHAI,F4,CHINA,Foreign,,,"=""5912""","Drug Stores and Proprietary Stores",446110,"Pharmacies and Drug Stores",34,3,12/29/22,"140,281,248",12/31/22,"1,944,373,000","-59,968,000","91,930,000","499,707,000"
24572,"Insurance contract liabilities","Valuation of Incurred but not yet Reported (“IBNR”) Claims Liability",500233,12/31/22,02/21/23,1,"PricewaterhouseCoopers LLP",,,,"San Francisco",CA,CALIFORNIA,"US West",10-K,2023-02-22,,"1Life Healthcare Inc",1404123,,"ONE EMBARCADERO CENTER, SUITE 1900",,"San Francisco",CA,CALIFORNIA,"US West",,,"=""8011""","Offices and Clinics of Doctors of Medicine",621111,"Offices of Physicians (except Mental Health Specialists)",34,,,"3,442,778,010",12/31/22,"1,045,547,000","-397,847,000","74,408,000","2,432,734,000"
28948,"Allowance for credit losses","Allowance for Credit Losses – Refer to Note 2 to the consolidated financial statements",508518,12/31/22,04/11/23,3,"Deloitte & Touche LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2023-04-11,,"1st FRANKLIN FINANCIAL CORP",38723,,"135 E TUGALO ST","P O BOX 880",TOCCOA,GA,GEORGIA,"US Southeast",,,"=""6141""","Personal Credit Institutions",522292,"Real Estate Credit",34,,,,12/31/22,"209,657,031","16,159,627",,"1,162,924,256"
20486,"Long-lived assets","Assessment of impairment of store-level long-lived assets",484294,02/26/22,04/21/22,4,"KPMG LLP",,,,"Short Hills",NJ,"NEW JERSEY","US Mid Atlantic",10-K,2022-04-21,,"20230930-DK-Butterfly-1, Inc.",886158,,"650 LIBERTY AVENUE",,UNION,NJ,"NEW JERSEY","US Mid Atlantic",,,"=""5700""","Retail-Home Furniture, Furnishings & Equipment Stores",442299,"All Other Home Furnishings Stores",34,17,02/28/22,"1,627,143,936",02/26/22,"7,867,778,000","-559,623,000",,"5,130,572,000"
28946,"Long-lived assets","Assessment of impairment of store-level long-lived assets",508498,02/26/22,04/21/22,4,"KPMG LLP",,,,"Short Hills",NJ,"NEW JERSEY","US Mid Atlantic",S-1,2023-04-11,,"20230930-DK-Butterfly-1, Inc.",886158,,"650 LIBERTY AVENUE",,UNION,NJ,"NEW JERSEY","US Mid Atlantic",,,"=""5700""","Retail-Home Furniture, Furnishings & Equipment Stores",442299,"All Other Home Furnishings Stores",34,17,02/28/22,"1,627,143,936",02/26/22,"7,867,778,000","-559,623,000",,"5,130,572,000"
24505,"Revenue from customer contracts","Determination of implied pricing concessions",500095,12/31/22,02/21/23,4,"KPMG LLP",,,,McLean,VA,VIRGINIA,"US Mid Atlantic",10-K,2023-02-21,,"2U, LLC",1459417,,"7900 HARKINS ROAD",,LANHAM,MD,MARYLAND,"US Mid Atlantic",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,6,12/29/22,"484,870,336",12/31/22,"963,080,000","-322,151,000","-782,859,000","1,810,859,000"
24506,"Goodwill and intangible assets","Impairment of goodwill and indefinite-lived intangible asset",500095,12/31/22,02/21/23,4,"KPMG LLP",,,,McLean,VA,VIRGINIA,"US Mid Atlantic",10-K,2023-02-21,,"2U, LLC",1459417,,"7900 HARKINS ROAD",,LANHAM,MD,MARYLAND,"US Mid Atlantic",,,"=""7372""","Prepackaged Software",511210,"Software Publishers",34,6,12/29/22,"484,870,336",12/31/22,"963,080,000","-322,151,000","-782,859,000","1,810,859,000"
23705,"Other contingent liabilities","Legal Proceedings",498859,12/31/22,02/08/23,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2023-02-08,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,120,12/31/22,"55,067,316,224",12/31/22,"34,229,000,000","5,777,000,000","-2,767,000,000","46,455,000,000"
23706,"Disposals and divestitures","Tax-free Determination of the Split-Off of the Food Safety Division",498859,12/31/22,02/08/23,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2023-02-08,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,120,12/31/22,"55,067,316,224",12/31/22,"34,229,000,000","5,777,000,000","-2,767,000,000","46,455,000,000"
23707,"Long-lived assets","Property, Plant and Equipment and Goodwill Impairment Assessments for the Advanced Materials Division",498859,12/31/22,02/08/23,1,"PricewaterhouseCoopers LLP",,,,Minneapolis,MN,MINNESOTA,"US Midwest",10-K,2023-02-08,,"3M CO",66740,"=""MMM""","3M CENTER","BLDG. 220-9E-02","ST PAUL",MN,MINNESOTA,"US Midwest",,,"=""3841""","Surgical and Medical Instruments and Apparatus",322222,"Coated and Laminated Paper Manufacturing",34,120,12/31/22,"55,067,316,224",12/31/22,"34,229,000,000","5,777,000,000","-2,767,000,000","46,455,000,000"
21834,Inventory,"Assessment of the write-down of inventories",489785,05/31/22,07/21/22,4,"KPMG LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2022-07-21,,"AAR CORP",1750,"=""AIR""","1100 N WOOD DALE RD",,"WOOD DALE",IL,ILLINOIS,"US Midwest",,,"=""3720""","Aircraft & Parts",334613,"Magnetic and Optical Recording Media Manufacturing",34,48,05/31/22,"1,706,558,080",05/31/22,"1,820,000,000","78,700,000","914,800,000","1,573,900,000"
21835,"Revenue from customer contracts","Evaluation of the estimate of costs at completion of certain performance obligations",489785,05/31/22,07/21/22,4,"KPMG LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2022-07-21,,"AAR CORP",1750,"=""AIR""","1100 N WOOD DALE RD",,"WOOD DALE",IL,ILLINOIS,"US Midwest",,,"=""3720""","Aircraft & Parts",334613,"Magnetic and Optical Recording Media Manufacturing",34,48,05/31/22,"1,706,558,080",05/31/22,"1,820,000,000","78,700,000","914,800,000","1,573,900,000"
26242,"Other contingent liabilities","Estimated claims liabilities costs",502554,12/31/22,03/01/23,2,"Ernst & Young LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2023-03-01,,"Aaron's Company, Inc.",1821393,,"400 GALLERIA PARKWAY SE, SUITE 300",,ATLANTA,GA,GEORGIA,"US Southeast",,,"=""7359""","Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,12,12/31/22,"365,904,928",12/31/22,"2,249,434,000","-5,280,000","522,164,000","1,858,463,000"
26243,"Business combinations","BrandsMart Acquisition - Trade names Intangible",502554,12/31/22,03/01/23,2,"Ernst & Young LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2023-03-01,,"Aaron's Company, Inc.",1821393,,"400 GALLERIA PARKWAY SE, SUITE 300",,ATLANTA,GA,GEORGIA,"US Southeast",,,"=""7359""","Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,12,12/31/22,"365,904,928",12/31/22,"2,249,434,000","-5,280,000","522,164,000","1,858,463,000"
26244,Goodwill,"Valuation of Goodwill - BrandsMart reporting unit",502554,12/31/22,03/01/23,2,"Ernst & Young LLP",,,,Atlanta,GA,GEORGIA,"US Southeast",10-K,2023-03-01,,"Aaron's Company, Inc.",1821393,,"400 GALLERIA PARKWAY SE, SUITE 300",,ATLANTA,GA,GEORGIA,"US Southeast",,,"=""7359""","Equipment Rental and Leasing, NEC",532210,"Consumer Electronics and Appliances Rental",34,12,12/31/22,"365,904,928",12/31/22,"2,249,434,000","-5,280,000","522,164,000","1,858,463,000"
25595,"Revenue from customer contracts","Revenue recognition for certain long-term fixed price contracts using the percentage-of-completion method ",500904,12/31/22,02/23/23,4,"KPMG LLP",288,"KPMG AG",3240,Zurich,V8,SWITZERLAND,Foreign,20-F,2023-02-24,,"ABB LTD",1091587,"=""ABBNY""","PO BOX 8131",*,ZURICH,V8,SWITZERLAND,Foreign,,,"=""3613""","Switchgear and Switchboard Apparatus",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,30,12/31/22,"56,807,899,136",12/31/22,"29,446,000,000","2,475,000,000","945,000,000","39,148,000,000"
25596,"Other income taxes","Valuation of unrecognized tax benefits related to transfer pricing",500904,12/31/22,02/23/23,4,"KPMG LLP",288,"KPMG AG",3240,Zurich,V8,SWITZERLAND,Foreign,20-F,2023-02-24,,"ABB LTD",1091587,"=""ABBNY""","PO BOX 8131",*,ZURICH,V8,SWITZERLAND,Foreign,,,"=""3613""","Switchgear and Switchboard Apparatus",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,30,12/31/22,"56,807,899,136",12/31/22,"29,446,000,000","2,475,000,000","945,000,000","39,148,000,000"
24328,"Other income taxes","Income taxes – Unrecognized tax benefits",499931,12/31/22,02/17/23,2,"Ernst & Young LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2023-02-17,,"ABBOTT LABORATORIES",1800,"=""ABT""","100 ABBOTT PARK ROAD",,"ABBOTT PARK",IL,ILLINOIS,"US Midwest",,,"=""2834""","Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,110,12/31/22,"190,792,515,584",12/31/22,"43,653,000,000","6,933,000,000","3,433,000,000","74,438,000,000"
24378,"Sales return and allowances","Sales rebate accruals for Medicaid, Medicare and managed care programs",499853,12/31/22,02/17/23,2,"Ernst & Young LLP",,,,Chicago,IL,ILLINOIS,"US Midwest",10-K,2023-02-17,,"AbbVie Inc.",1551152,"=""ABBV""","1 NORTH WAUKEGAN ROAD",,"NORTH CHICAGO",IL,ILLINOIS,"US Midwest",,,"=""2834""","Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,162,12/31/22,"285,917,380,608",12/31/22,"58,054,000,000","11,836,000,000","-82,341,000,000","138,805,000,000"
