CRITICAL_AUDIT_MATTER_KEY,TOPIC_NAME,COMPANY_FKEY,FISCAL_YE
12414,Inventory,0000001750,0531
12415,Revenue from customer contracts,0000001750,0531
21834,Inventory,0000001750,0531
21835,Revenue from customer contracts,0000001750,0531
30697,Inventory,0000001750,0531
30698,Revenue from customer contracts,0000001750,0531
38896,Inventory,0000001750,0531
38897,Business combinations,0000001750,0531
4344,Inventory,0000001750,0531
4345,Revenue from customer contracts,0000001750,0531
48001,Inventory,0000001750,0531
15278,Other income taxes,0000001800,1231
1647,Other intangible assets,0000001800,1231
1648,Other income taxes,0000001800,1231
24328,Other income taxes,0000001800,1231
33069,Other income taxes,0000001800,1231
42281,Other income taxes,0000001800,1231
5842,Other income taxes,0000001800,1231
19465,Related party transactions,0000001961,1231
19466,Going concern,0000001961,1231
28724,Going concern,0000001961,1231
37532,Going concern,0000001961,1231
46233,Going concern,0000001961,1231
9377,Accounts/loans receivable,0000001961,1231
9378,Going concern,0000001961,1231
27151,Business combinations,0000002098,1231
44381,Business combinations,0000002098,1231
18049,Other contingent liabilities,0000002178,1231
27572,Other contingent liabilities,0000002178,1231
35920,Other contingent liabilities,0000002178,1231
8581,Business combinations,0000002178,1231
8582,Other contingent liabilities,0000002178,1231
18739,Inventory,0000002186,1231
18740,Deferred income taxes,0000002186,1231
20758,Inventory,0000002186,1231
20759,Deferred income taxes,0000002186,1231
27573,Inventory,0000002186,1231
27574,Deferred income taxes,0000002186,1231
35938,Inventory,0000002186,1231
35939,Deferred income taxes,0000002186,1231
45730,Inventory,0000002186,1231
8227,Inventory,0000002186,1231
8228,Deferred income taxes,0000002186,1231
14447,Inventory,0000002488,1227
25727,Inventory,0000002488,1227
25728,Business combinations,0000002488,1227
32280,Inventory,0000002488,1227
40719,Inventory,0000002488,1227
4932,Inventory,0000002488,1227
4933,Deferred income taxes,0000002488,1227
516,Inventory,0000002488,1227
19113,Goodwill,0000002809,1231
28080,Business combinations,0000002809,1231
28081,Goodwill,0000002809,1231
36545,Business combinations,0000002809,1231
36546,Goodwill,0000002809,1231
3659,Long-lived assets,0000002809,1231
41342,Goodwill,0000002809,1231
43497,Goodwill,0000002809,1231
9996,Goodwill,0000002809,1231
13616,Revenue from customer contracts,0000002969,0930
13617,Revenue from customer contracts,0000002969,0930
22989,Revenue from customer contracts,0000002969,0930
23052,Equity investments and joint ventures,0000002969,0930
314,Revenue from customer contracts,0000002969,0930
31686,Revenue from customer contracts,0000002969,0930
40061,Revenue from customer contracts,0000002969,0930
4683,Revenue from customer contracts,0000002969,0930
13662,Regulatory assets and liabilities,0000003146,0930
22897,Regulatory assets and liabilities,0000003146,0930
31687,Regulatory assets and liabilities,0000003146,0930
40050,Regulatory assets and liabilities,0000003146,0930
4660,Regulatory assets and liabilities,0000003146,0930
4661,Long-lived assets,0000003146,0930
14963,Regulatory assets and liabilities,0000003153,1231
24265,Regulatory assets and liabilities,0000003153,1231
32879,Regulatory assets and liabilities,0000003153,1231
42093,Regulatory assets and liabilities,0000003153,1231
5587,Regulatory assets and liabilities,0000003153,1231
18397,Revenue from customer contracts,0000003197,1231
26798,Revenue from customer contracts,0000003197,1231
35390,Revenue from customer contracts,0000003197,1231
42882,Revenue from customer contracts,0000003197,1231
8342,Revenue from customer contracts,0000003197,1231
16319,Goodwill,0000003453,1231
2487,Goodwill,0000003453,1231
25483,Goodwill,0000003453,1231
33901,Goodwill,0000003453,1231
43805,Goodwill,0000003453,1231
7394,Goodwill,0000003453,1231
14753,Real estate investments,0000003499,1231
23891,Real estate investments,0000003499,1231
32525,Real estate investments,0000003499,1231
40835,Real estate investments,0000003499,1231
5354,Real estate investments,0000003499,1231
979,Real estate investments,0000003499,1231
23173,Inventory,0000003545,0930
31877,Inventory,0000003545,0930
40140,Inventory,0000003545,0930
15802,Derivatives and hedging,0000003570,1231
1772,Derivatives and hedging,0000003570,1231
24986,Derivatives and hedging,0000003570,1231
33734,Derivatives and hedging,0000003570,1231
42094,Derivatives and hedging,0000003570,1231
6194,Derivatives and hedging,0000003570,1231
13719,Business combinations,0000004127,1003
23002,Uncertain tax positions,0000004127,1003
235,Uncertain tax positions,0000004127,1003
31722,Other income taxes,0000004127,1003
39992,Other income taxes,0000004127,1003
4649,Uncertain tax positions,0000004127,1003
14794,Goodwill,0000004281,1231
2232,Goodwill,0000004281,1231
2233,"Property, plant and equipment",0000004281,1231
24009,Goodwill,0000004281,1231
32655,Goodwill,0000004281,1231
41495,Goodwill,0000004281,1231
5428,Goodwill,0000004281,1231
1521,Proven and unproven reserves,0000004447,1231
1522,Deferred income taxes,0000004447,1231
17238,Proven and unproven reserves,0000004447,1231
25383,Proven and unproven reserves,0000004447,1231
34039,Proven and unproven reserves,0000004447,1231
43517,Proven and unproven reserves,0000004447,1231
8125,Proven and unproven reserves,0000004447,1231
8126,Long-lived assets,0000004447,1231
11860,Other contingent liabilities,0000004457,0331
11861,Insurance contract liabilities,0000004457,0331
11862,Insurance contract liabilities,0000004457,0331
21282,Other contingent liabilities,0000004457,0331
21283,Insurance contract liabilities,0000004457,0331
21284,Insurance contract liabilities,0000004457,0331
30237,Insurance contract liabilities,0000004457,0331
30238,Insurance contract liabilities,0000004457,0331
30239,Other contingent liabilities,0000004457,0331
38483,Other contingent liabilities,0000004457,0331
4172,Other contingent liabilities,0000004457,0331
4173,Insurance contract liabilities,0000004457,0331
4174,Insurance contract liabilities,0000004457,0331
47574,Insurance contract liabilities,0000004457,0331
1038,Revenue from customer contracts,0000004515,1231
1039,Revenue from customer contracts,0000004515,1231
15364,Revenue from customer contracts,0000004515,1231
15365,Deferred income taxes,0000004515,1231
24544,Deferred income taxes,0000004515,1231
33308,Deferred income taxes,0000004515,1231
41825,Deferred income taxes,0000004515,1231
5576,Revenue from customer contracts,0000004515,1231
5577,Deferred income taxes,0000004515,1231
1185,Regulatory assets and liabilities,0000004904,1231
1186,Derivatives and hedging,0000004904,1231
1187,Business combinations,0000004904,1231
15936,Regulatory assets and liabilities,0000004904,1231
15937,Derivatives and hedging,0000004904,1231
24932,Regulatory assets and liabilities,0000004904,1231
24933,Derivatives and hedging,0000004904,1231
24934,Discontinued operations,0000004904,1231
30137,Regulatory assets and liabilities,0000004904,1231
30138,Derivatives and hedging,0000004904,1231
30139,Discontinued operations,0000004904,1231
34249,Regulatory assets and liabilities,0000004904,1231
34250,Derivatives and hedging,0000004904,1231
41265,Regulatory assets and liabilities,0000004904,1231
41266,Derivatives and hedging,0000004904,1231
41267,Asset retirement and environmental obligations,0000004904,1231
6911,Regulatory assets and liabilities,0000004904,1231
6912,Derivatives and hedging,0000004904,1231
14719,Allowance for credit losses,0000004962,1231
14720,Other liabilities and provisions,0000004962,1231
23803,Allowance for credit losses,0000004962,1231
23804,Other liabilities and provisions,0000004962,1231
32589,Allowance for credit losses,0000004962,1231
32590,Other liabilities and provisions,0000004962,1231
40793,Allowance for credit losses,0000004962,1231
40794,Other liabilities and provisions,0000004962,1231
5273,Allowance for credit losses,0000004962,1231
5274,Other liabilities and provisions,0000004962,1231
786,Other liabilities and provisions,0000004962,1231
787,Allowance for credit losses,0000004962,1231
6648,Revenue from customer contracts,0000004969,1231
15823,Long-term investments,0000004977,1231
15824,Insurance contract liabilities,0000004977,1231
15825,Policy changes,0000004977,1231
1602,Long-term investments,0000004977,1231
1603,Insurance contract liabilities,0000004977,1231
25449,Long-term investments,0000004977,1231
25450,Insurance contract liabilities,0000004977,1231
25451,Policy changes,0000004977,1231
33554,Long-term investments,0000004977,1231
33555,Insurance contract liabilities,0000004977,1231
43107,Other investments,0000004977,1231
43108,Insurance contract liabilities,0000004977,1231
6279,Long-term investments,0000004977,1231
6280,Insurance contract liabilities,0000004977,1231
15156,Other investments,0000005272,1231
15157,Insurance contract liabilities,0000005272,1231
15158,Insurance contract liabilities,0000005272,1231
15159,Depreciation and amortization,0000005272,1231
15160,Deferred income taxes,0000005272,1231
1650,Other investments,0000005272,1231
1651,Insurance contract liabilities,0000005272,1231
1652,Depreciation and amortization,0000005272,1231
1653,Insurance contract liabilities,0000005272,1231
1654,Deferred income taxes,0000005272,1231
24367,Other investments,0000005272,1231
24368,Insurance contract liabilities,0000005272,1231
24369,Insurance contract liabilities,0000005272,1231
24370,Depreciation and amortization,0000005272,1231
24371,Deferred income taxes,0000005272,1231
32721,Other investments,0000005272,1231
32722,Insurance contract liabilities,0000005272,1231
32723,Insurance contract liabilities,0000005272,1231
32724,Policy changes,0000005272,1231
