CRITICAL_AUDIT_MATTER_KEY,TOPIC_NAME,AUDIT_OPINION_FKEY,COMPANY_FKEY,FISCAL_YE
12414,Inventory,460559,0000001750,0531
12415,Revenue from customer contracts,460559,0000001750,0531
21834,Inventory,489785,0000001750,0531
21835,Revenue from customer contracts,489785,0000001750,0531
30697,Inventory,514785,0000001750,0531
30698,Revenue from customer contracts,514785,0000001750,0531
38896,Inventory,538930,0000001750,0531
38897,Business combinations,538930,0000001750,0531
4344,Inventory,429723,0000001750,0531
4345,Revenue from customer contracts,429723,0000001750,0531
48001,Inventory,568882,0000001750,0531
15278,Other income taxes,474344,0000001800,1231
1647,Other intangible assets,417108,0000001800,1231
1648,Other income taxes,417108,0000001800,1231
24328,Other income taxes,499931,0000001800,1231
33069,Other income taxes,524978,0000001800,1231
42281,Other income taxes,552434,0000001800,1231
5842,Other income taxes,442771,0000001800,1231
19465,Related party transactions,481692,0000001961,1231
19466,Going concern,481692,0000001961,1231
28724,Going concern,507843,0000001961,1231
37532,Going concern,533268,0000001961,1231
46233,Going concern,560310,0000001961,1231
9377,Accounts/loans receivable,449133,0000001961,1231
9378,Going concern,449133,0000001961,1231
27151,Business combinations,504607,0000002098,1231
44381,Business combinations,556008,0000002098,1231
18049,Other contingent liabilities,478695,0000002178,1231
27572,Other contingent liabilities,505405,0000002178,1231
35920,Other contingent liabilities,529866,0000002178,1231
8581,Business combinations,446641,0000002178,1231
8582,Other contingent liabilities,446641,0000002178,1231
18739,Inventory,479829,0000002186,1231
18740,Deferred income taxes,479829,0000002186,1231
20758,Inventory,485833,0000002186,1231
20759,Deferred income taxes,485833,0000002186,1231
27573,Inventory,505404,0000002186,1231
27574,Deferred income taxes,505404,0000002186,1231
35938,Inventory,530034,0000002186,1231
35939,Deferred income taxes,530034,0000002186,1231
45730,Inventory,559221,0000002186,1231
8227,Inventory,445982,0000002186,1231
8228,Deferred income taxes,445982,0000002186,1231
14447,Inventory,472982,0000002488,1227
25727,Inventory,501698,0000002488,1227
25728,Business combinations,501698,0000002488,1227
32280,Inventory,523754,0000002488,1227
40719,Inventory,548248,0000002488,1227
4932,Inventory,440592,0000002488,1227
4933,Deferred income taxes,440592,0000002488,1227
516,Inventory,415584,0000002488,1227
19113,Goodwill,480691,0000002809,1231
28080,Business combinations,506384,0000002809,1231
28081,Goodwill,506384,0000002809,1231
36545,Business combinations,531084,0000002809,1231
36546,Goodwill,531084,0000002809,1231
3659,Long-lived assets,423078,0000002809,1231
41342,Goodwill,551317,0000002809,1231
43497,Goodwill,554155,0000002809,1231
9996,Goodwill,450576,0000002809,1231
13616,Revenue from customer contracts,467759,0000002969,0930
13617,Revenue from customer contracts,467759,0000002969,0930
22989,Revenue from customer contracts,494827,0000002969,0930
23052,Equity investments and joint ventures,494827,0000002969,0930
314,Revenue from customer contracts,412183,0000002969,0930
31686,Revenue from customer contracts,519876,0000002969,0930
40061,Revenue from customer contracts,544302,0000002969,0930
4683,Revenue from customer contracts,435849,0000002969,0930
13662,Regulatory assets and liabilities,467897,0000003146,0930
22897,Regulatory assets and liabilities,494628,0000003146,0930
31687,Regulatory assets and liabilities,519878,0000003146,0930
40050,Regulatory assets and liabilities,544223,0000003146,0930
4660,Regulatory assets and liabilities,435721,0000003146,0930
4661,Long-lived assets,435721,0000003146,0930
14963,Regulatory assets and liabilities,473955,0000003153,1231
24265,Regulatory assets and liabilities,499598,0000003153,1231
32879,Regulatory assets and liabilities,524762,0000003153,1231
42093,Regulatory assets and liabilities,552243,0000003153,1231
5587,Regulatory assets and liabilities,442118,0000003153,1231
18397,Revenue from customer contracts,479321,0000003197,1231
26798,Revenue from customer contracts,503318,0000003197,1231
35390,Revenue from customer contracts,528354,0000003197,1231
42882,Revenue from customer contracts,553307,0000003197,1231
8342,Revenue from customer contracts,445743,0000003197,1231
16319,Goodwill,475569,0000003453,1231
2487,Goodwill,418870,0000003453,1231
25483,Goodwill,500967,0000003453,1231
33901,Goodwill,526184,0000003453,1231
43805,Goodwill,554604,0000003453,1231
7394,Goodwill,444325,0000003453,1231
14753,Real estate investments,473600,0000003499,1231
23891,Real estate investments,499225,0000003499,1231
32525,Real estate investments,524460,0000003499,1231
40835,Real estate investments,550680,0000003499,1231
5354,Real estate investments,441880,0000003499,1231
979,Real estate investments,416359,0000003499,1231
23173,Inventory,495839,0000003545,0930
31877,Inventory,520770,0000003545,0930
40140,Inventory,544716,0000003545,0930
15802,Derivatives and hedging,474970,0000003570,1231
1772,Derivatives and hedging,417461,0000003570,1231
24986,Derivatives and hedging,500789,0000003570,1231
33734,Derivatives and hedging,525707,0000003570,1231
42094,Derivatives and hedging,552251,0000003570,1231
6194,Derivatives and hedging,443172,0000003570,1231
13719,Business combinations,468231,0000004127,1003
23002,Uncertain tax positions,494841,0000004127,1003
235,Uncertain tax positions,411700,0000004127,1003
31722,Other income taxes,519933,0000004127,1003
39992,Other income taxes,544067,0000004127,1003
4649,Uncertain tax positions,435646,0000004127,1003
14794,Goodwill,473669,0000004281,1231
2232,Goodwill,418081,0000004281,1231
2233,"Property, plant and equipment",418081,0000004281,1231
24009,Goodwill,499367,0000004281,1231
32655,Goodwill,524532,0000004281,1231
41495,Goodwill,551474,0000004281,1231
5428,Goodwill,441947,0000004281,1231
1521,Proven and unproven reserves,416786,0000004447,1231
1522,Deferred income taxes,416786,0000004447,1231
17238,Proven and unproven reserves,476991,0000004447,1231
25383,Proven and unproven reserves,501305,0000004447,1231
34039,Proven and unproven reserves,526390,0000004447,1231
43517,Proven and unproven reserves,554203,0000004447,1231
8125,Proven and unproven reserves,445046,0000004447,1231
8126,Long-lived assets,445046,0000004447,1231
11860,Other contingent liabilities,457020,0000004457,0331
11861,Insurance contract liabilities,457020,0000004457,0331
11862,Insurance contract liabilities,457020,0000004457,0331
21282,Other contingent liabilities,487410,0000004457,0331
21283,Insurance contract liabilities,487410,0000004457,0331
21284,Insurance contract liabilities,487410,0000004457,0331
30237,Insurance contract liabilities,512832,0000004457,0331
30238,Insurance contract liabilities,512832,0000004457,0331
30239,Other contingent liabilities,512832,0000004457,0331
38483,Other contingent liabilities,536755,0000004457,0331
4172,Other contingent liabilities,427161,0000004457,0331
4173,Insurance contract liabilities,427161,0000004457,0331
4174,Insurance contract liabilities,427161,0000004457,0331
47574,Insurance contract liabilities,565924,0000004457,0331
1038,Revenue from customer contracts,416444,0000004515,1231
1039,Revenue from customer contracts,416444,0000004515,1231
15364,Revenue from customer contracts,474417,0000004515,1231
15365,Deferred income taxes,474417,0000004515,1231
24544,Deferred income taxes,500249,0000004515,1231
33308,Deferred income taxes,525344,0000004515,1231
41825,Deferred income taxes,551960,0000004515,1231
5576,Revenue from customer contracts,442202,0000004515,1231
5577,Deferred income taxes,442202,0000004515,1231
1185,Regulatory assets and liabilities,416636,0000004904,1231
1186,Derivatives and hedging,416636,0000004904,1231
1187,Business combinations,416636,0000004904,1231
15936,Regulatory assets and liabilities,474972,0000004904,1231
15937,Derivatives and hedging,474972,0000004904,1231
24932,Regulatory assets and liabilities,500713,0000004904,1231
24933,Derivatives and hedging,500713,0000004904,1231
24934,Discontinued operations,500713,0000004904,1231
30137,Regulatory assets and liabilities,512582,0000004904,1231
30138,Derivatives and hedging,512582,0000004904,1231
30139,Discontinued operations,512582,0000004904,1231
34249,Regulatory assets and liabilities,526345,0000004904,1231
34250,Derivatives and hedging,526345,0000004904,1231
41265,Regulatory assets and liabilities,551234,0000004904,1231
41266,Derivatives and hedging,551234,0000004904,1231
41267,Asset retirement and environmental obligations,551234,0000004904,1231
6911,Regulatory assets and liabilities,443787,0000004904,1231
6912,Derivatives and hedging,443787,0000004904,1231
14719,Allowance for credit losses,473590,0000004962,1231
14720,Other liabilities and provisions,473590,0000004962,1231
23803,Allowance for credit losses,499149,0000004962,1231
23804,Other liabilities and provisions,499149,0000004962,1231
32589,Allowance for credit losses,524344,0000004962,1231
32590,Other liabilities and provisions,524344,0000004962,1231
40793,Allowance for credit losses,550428,0000004962,1231
40794,Other liabilities and provisions,550428,0000004962,1231
5273,Allowance for credit losses,441693,0000004962,1231
5274,Other liabilities and provisions,441693,0000004962,1231
786,Other liabilities and provisions,416124,0000004962,1231
787,Allowance for credit losses,416124,0000004962,1231
6648,Revenue from customer contracts,443795,0000004969,1231
15823,Long-term investments,474941,0000004977,1231
15824,Insurance contract liabilities,474941,0000004977,1231
15825,Policy changes,474941,0000004977,1231
1602,Long-term investments,417111,0000004977,1231
1603,Insurance contract liabilities,417111,0000004977,1231
25449,Long-term investments,500968,0000004977,1231
25450,Insurance contract liabilities,500968,0000004977,1231
25451,Policy changes,500968,0000004977,1231
33554,Long-term investments,525750,0000004977,1231
33555,Insurance contract liabilities,525750,0000004977,1231
43107,Other investments,553725,0000004977,1231
43108,Insurance contract liabilities,553725,0000004977,1231
6279,Long-term investments,443303,0000004977,1231
6280,Insurance contract liabilities,443303,0000004977,1231
15156,Other investments,474023,0000005272,1231
15157,Insurance contract liabilities,474023,0000005272,1231
15158,Insurance contract liabilities,474023,0000005272,1231
15159,Depreciation and amortization,474023,0000005272,1231
15160,Deferred income taxes,474023,0000005272,1231
1650,Other investments,417105,0000005272,1231
1651,Insurance contract liabilities,417105,0000005272,1231
1652,Depreciation and amortization,417105,0000005272,1231
1653,Insurance contract liabilities,417105,0000005272,1231
1654,Deferred income taxes,417105,0000005272,1231
24367,Other investments,499858,0000005272,1231
24368,Insurance contract liabilities,499858,0000005272,1231
24369,Insurance contract liabilities,499858,0000005272,1231
24370,Depreciation and amortization,499858,0000005272,1231
24371,Deferred income taxes,499858,0000005272,1231
32721,Other investments,524614,0000005272,1231
32722,Insurance contract liabilities,524614,0000005272,1231
32723,Insurance contract liabilities,524614,0000005272,1231
32724,Policy changes,524614,0000005272,1231
32725,Deferred income taxes,524614,0000005272,1231
41295,Insurance contract liabilities,551250,0000005272,1231
5864,Other investments,442762,0000005272,1231
5865,Insurance contract liabilities,442762,0000005272,1231
